# # frequency [invcm]  IR intensity [a.u.]
3.753847400000000107e+03  7.065251399999999649e+02
3.760798899999999776e+03  5.984210199999999986e+02
3.767750500000000102e+03  5.060714600000000019e+02
3.774702099999999973e+03  4.292686199999999985e+02
3.781653600000000097e+03  3.668503799999999728e+02
3.788605199999999968e+03  3.169615400000000136e+02
3.795556799999999839e+03  2.773684900000000084e+02
3.802508299999999963e+03  2.457725100000000111e+02
3.809459899999999834e+03  2.200789900000000046e+02
3.816411500000000160e+03  1.985928600000000017e+02
3.823362999999999829e+03  1.801218000000000075e+02
3.830314600000000155e+03  1.639806000000000097e+02
3.837266200000000026e+03  1.499051399999999887e+02
3.844217799999999897e+03  1.379007200000000068e+02
3.851169300000000021e+03  1.280649500000000103e+02
3.858120899999999892e+03  1.204314300000000060e+02
3.865072500000000218e+03  1.148740399999999937e+02
3.872023999999999887e+03  1.110918599999999969e+02
3.878975600000000213e+03  1.086678200000000061e+02
3.885927200000000084e+03  1.071706099999999964e+02
3.892878700000000208e+03  1.062566000000000059e+02
3.899830300000000079e+03  1.057334100000000063e+02
3.906781899999999951e+03  1.055648599999999959e+02
3.913733400000000074e+03  1.058215399999999988e+02
3.920684999999999945e+03  1.066014799999999951e+02
3.927636599999999817e+03  1.079534900000000022e+02
3.934588200000000143e+03  1.098302999999999940e+02
3.941539699999999812e+03  1.120831500000000034e+02
3.948491300000000138e+03  1.144920000000000044e+02
3.955442900000000009e+03  1.168136099999999971e+02
3.962394400000000132e+03  1.188275100000000037e+02
3.969346000000000004e+03  1.203659399999999948e+02
3.976297599999999875e+03  1.213242400000000032e+02
3.983249099999999999e+03  1.216571299999999951e+02
3.990200699999999870e+03  1.213693499999999972e+02
3.997152300000000196e+03  1.205073399999999992e+02
4.004103799999999865e+03  1.191531499999999966e+02
4.011055400000000191e+03  1.174176199999999994e+02
4.018007000000000062e+03  1.154286500000000046e+02
